r,rtype,zr,effshape,dirsign5,authordate,studyid,siteid,ecosystype,expsyst,manip,design,inddivcause,establfrom,divmeas,fglevels,splevels,maxspno,noplots,nospec,tl_manip,tl_measur,trophrel,variable,groupvar,service,ecoserv,residinvad,statdyn,ratestock,resplevel
0.389,univar,0.41,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Producer,same,cover of general weeds (control plots),Invader 1°producer abundance,r,bioregulation,2,variable,s,pop
0.404,univar,0.429,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Consumer,above,size of Rhinanthus alectorolophus plants,NA,r,bioregulation,1,static,s,pop
0.412,univar,0.438,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,5,high,64,48,1°Producer,1°Producer,same,no. seeds/seed germinated,Invader 1°producer fecundity,r,bioregulation,2,static,s,pop
0.454,univar,0.49,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Producer,same,cover of host community,1°producer abundance,p,prim prod,1,variable,s,com
0.463,univar,0.501,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Producer,same,no. of general weeds (control plots),Invader 1°producer abundance,r,bioregulation,2,variable,s,pop
0.529,univar,0.588,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Consumer,above,total inflorescence length Rhinanthus alectorolophus,1°+consumer abundance,r,bioregulation,1,static,s,pop
0.569,univar,0.647,positive linear,2,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Producer,same,host community biomass,1°producer abundance,r,bioregulation,1,variable,s,com
NA,,NA,no,0,Joshi et al. 2000,32,S170,grassland,field,direct,substitutive,,propagules/colonization,FgRichn,3,5,high,64,48,1°Producer,1°Producer,same,host community biomass,1°producer abundance,r,bioregulation,1,variable,s,com
0.005,univar,0.005,positive log-linear,0,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (lettuce),1°producer abundance,p,prim prod,1,static,s,pop
0.064,univar,0.064,positive log-linear,0,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (cabbage),1°producer abundance,p,prim prod,1,static,s,pop
0.096,univar,0.096,positive linear,0,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,species richness weed,Invader 1°producer diversity,r,bioregulation,2,static,s,com
0.221,univar,0.225,positive log-linear,1,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (tomato),1°producer abundance,p,prim prod,1,static,s,pop
0.225,univar,0.229,positive log-linear,1,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (basil),1°producer abundance,p,prim prod,1,static,s,pop
0.252,univar,0.258,positive log-linear,2,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (borage),1°producer abundance,p,prim prod,1,static,s,pop
0.287,univar,0.295,positive log-linear,2,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (all species),1°producer abundance,p,prim prod,1,static,s,com
0.29,univar,0.299,positive log-linear,2,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (marigold),1°producer abundance,p,prim prod,1,static,s,pop
0.354,univar,0.37,positive log-linear,2,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (zinnia),1°producer abundance,p,prim prod,1,static,s,pop
0.544,univar,0.61,positive log-linear,2,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,biomass aboveground/individual (soy),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,no,0,Palmer & Chandler-Ezell 2001,34,S240,crop/successional,greenhouse,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,200,8,1°Producer,1°Producer,same,species composition (weed),Invader 1°producer diversity,r,bioregulation,2,static,s,com
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,fecundity (Conyza bonariensis),Invader 1°producer fecundity,r,bioregulation,2,static,s,pop
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,fecundity (Conyza canadensis),Invader 1°producer fecundity,r,bioregulation,2,static,s,pop
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,germination of C. bonariensis,Invader 1°producer abundance,r,bioregulation,2,static,s,pop
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,germination of C. canadensis,Invader 1°producer abundance,r,bioregulation,2,static,s,pop
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,survival (Conyza bonariensis),Invader 1°producer survival,r,bioregulation,2,static,s,pop
NA,,NA,no,0,Prieur-Richard et al. 2000,35,S230,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,36,NA,1°Producer,1°Producer,same,survival (Conyza canadensis),Invader 1°producer survival,r,bioregulation,2,static,s,pop
-0.532,univar,-0.593,negative log-linear,-2,Knops et al. 1999,36,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Producer,same,no. external invader species,Invader 1°producer diversity,r,bioregulation,2,static,s,com
-0.48,univar,-0.523,negative log-linear,-2,Knops et al. 1999,36,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Producer,same,total invader biomass,Invader 1°producer abundance,r,bioregulation,2,static,s,pop
-0.335,univar,-0.348,negative log-linear,-2,Knops et al. 1999,36,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Producer,same,plant size of dominant invader species (Crepis tectorum),Invader 1°producer abundance,r,bioregulation,2,static,s,pop
-0.307,univar,-0.317,negative log-linear,-2,Knops et al. 1999,36,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Producer,same,plant size of dominant invader species (Digitaria ischaemum),Invader 1°producer abundance,r,bioregulation,2,static,s,pop
-0.825,univar,-1.171,negative,-2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,1°Consumer,above,foliar fungal disease of Liatris aspera,1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.575,univar,-0.654,negative,-2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,1°Consumer,above,foliar fungal disease of Lespedeza capitata,1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.52,univar,-0.576,negative,-2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,1°Consumer,above,foliar fungal disease of Monarda fistulosa,1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.51,univar,-0.563,negative,-2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,1°Consumer,above,foliar fungal disease of Schizachyrium scoparium,1°+consumer abundance,r,bioregulation,1,static,r,pop
0.4,univar,0.424,positive linear,2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,2°Consumer,above,species richness predatory insects,1°+consumer diversity,r,bioregulation,1,static,s,com
0.51,univar,0.563,positive linear,2,Knops et al. 1999,37,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,6,high,285,32,1°Producer,1°Consumer,above,species richness herbivore insects,1°+consumer diversity,r,bioregulation,1,static,s,com
NA,,NA,positive,2,Berish & Ewel 1988,38,S260,crop/successional,field,indirect,,succession,propagules/colonization,SpRichn,1,4,high,48,NA,1°Producer,1°Producer,same,fine root biomass,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,positive,0,Berish & Ewel 1988,38,S260,crop/successional,field,indirect,,succession,propagules/colonization,SpRichn,1,4,high,48,NA,1°Producer,1°Producer,same,organic matter contribution to soil (by roots),1°producer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,positive,1,Berish & Ewel 1988,38,S260,crop/successional,field,indirect,,succession,propagules/colonization,SpRichn,1,4,high,48,NA,1°Producer,1°Producer,same,prod. belowground (fine roots),1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,positive,2,Ewel et al. 1991,39,S260,crop/successional,field,indirect,,succession,propagules/colonization,SpRichn,1,4,high,48,NA,1°Producer,Ecosystem,eco,"soil fertility (N, P, S)",soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,negative,-1,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,abundance of microarthropodes (no. per g litter),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,positive,2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,abundance of nematodes (no. per g litter),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,positive,2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,fungivore nematodes (no. per gram litter),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,negative,-2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,length fungal hyphae,1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,litter decay,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
NA,,NA,negative,-2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Ecosystem,eco,N immobilization,soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,positive,2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Ecosystem,eco,N release (initial),soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,negative,-2,Blair et al. 1990,40,S270,soil community,field,direct,substitutive,,propagules/colonization,SpRichn,1,3,low,108,3,1°Producer,Detritivores,above,abundance bacteria (no. per g litter),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Garnier et al. 1997,41,S310,ruderal/salt marsh,greenhouse,direct,substitutive,,juveniles,SpRichn,2,2,low,16,4,1°Producer,1°Producer,same,prod. aboveground,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,negative,-1,Hurd & Wolf 1974,42,S330,grassland,field,indirect,,succession,propagules/colonization,SpRichn,1,2,low,4,NA,1°Consumer,2°Consumer,above,biomass carnivores,1°+consumer abundance,r,bioregulation,1,variable,s,com
NA,,NA,negative,-1,Hurd & Wolf 1974,42,S330,grassland,field,indirect,,succession,propagules/colonization,SpRichn,1,2,low,4,NA,1°Consumer,1°Consumer,same,productivity (dB/dt),1°+consumer abundance,r,bioregulation,1,variable,r,com
NA,,NA,negative,-1,Hurd & Wolf 1974,42,S330,grassland,field,indirect,,succession,propagules/colonization,SpRichn,1,2,low,4,NA,1°Consumer,1°Consumer,same,prod. aboveground,1°+consumer abundance,r,bioregulation,1,static,s,com
NA,,NA,negative,-1,Hurd & Wolf 1974,42,S330,grassland,field,indirect,,succession,propagules/colonization,FgRichn,1,2,low,4,NA,1°Consumer,2°Consumer,above,prod. aboveground,1°+consumer abundance,r,bioregulation,1,static,s,com
0.105,multivar,0.105,no,0,Laakso & Setälä 1999,43,S340,soil community,greenhouse,direct,additive,,juveniles,SpRichn,3,6,high,72,64,Multitrophic,1°Producer,above,prod. aboveground,1°producer abundance,p,prim prod,1,variable,s,com
0.514,multivar,0.568,no,0,Laakso & Setälä 1999,43,S340,soil community,greenhouse,direct,additive,,juveniles,SpRichn,3,6,high,72,64,Multitrophic,2°Consumer,within,biomass (predator),1°+consumer abundance,r,bioregulation,1,static,s,com
0.764,multivar,1.006,no,0,Laakso & Setälä 1999,43,S340,soil community,greenhouse,direct,additive,,juveniles,SpRichn,3,6,high,72,64,Multitrophic,1°Producer,above,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
0.788,multivar,1.066,no,0,Laakso & Setälä 1999,43,S340,soil community,greenhouse,direct,additive,,juveniles,SpRichn,3,6,high,72,64,Multitrophic,1°Consumer,within,biomass of microbial and detrital grazers,1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,positive,1,Leps et al. 1982,44,S430,grassland,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,10,NA,1°Producer,1°Producer,same,prod. aboveground,1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,negative,-1,Leps et al. 1982,44,S430,grassland,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,10,NA,1°Producer,1°Producer,same,prod. aboveground,1°producer abundance,p,prim prod,1,variable,s,com
-0.452,univar,-0.487,negative linear,-2,Mellinger & McNaughton 1975,47,S460,grassland,field,indirect,,succession,propagules/colonization,diversity,1,2,high,15,78,1°Producer,1°Producer,same,productivity (average),1°producer abundance,p,prim prod,1,static,r,com
-0.172,univar,-0.174,no,0,Mellinger & McNaughton 1975,47,S460,grassland,field,indirect,,succession,propagules/colonization,diversity,1,2,high,15,78,1°Producer,1°Producer,same,productivity (total),1°producer abundance,p,prim prod,1,static,r,com
NA,,NA,positive,1,Mellinger & McNaughton 1975,47,S460,grassland,field,indirect,,succession,propagules/colonization,diversity,1,2,high,15,78,1°Producer,1°Producer,same,productivity,1°producer abundance,p,prim prod,1,variable,r,com
NA,,NA,positive,2,Smedes & Hurd 1981,48,S510,aquatic marine,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,4,80,1°Consumer,1°Consumer,same,-bare ground/bare ground of control,1°+consumer abundance,r,bioregulation,1,variable,s,com
NA,,NA,negative,-2,Smedes & Hurd 1981,48,S510,aquatic marine,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,4,80,1°Consumer,1°Consumer,same,volume of organisms,1°+consumer abundance,r,bioregulation,1,variable,s,com
NA,,NA,positive,2,Smedes & Hurd 1981,48,S510,aquatic marine,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,4,80,1°Consumer,1°Consumer,same,-bare ground/bare ground of control,1°+consumer abundance,r,bioregulation,1,variable,s,com
NA,,NA,negative,-2,Smedes & Hurd 1981,48,S510,aquatic marine,field,indirect,,succession,propagules/colonization,SpRichn,1,2,high,4,80,1°Consumer,1°Consumer,same,volume of organisms,1°+consumer abundance,r,bioregulation,1,variable,s,com
NA,,NA,positive,2,Smith & Allcock 1985,49,S520,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,2,3,low,36,7,1°Producer,1°Producer,same,content of digestible organic matter and nitrogen,nutrient concentration plants,s,nutrient cycling,1,variable,s,com
NA,,NA,positive,2,Smith & Allcock 1985,49,S520,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,2,3,low,36,7,1°Producer,1°Producer,same,biomass aboveground,1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,negative,-1,Brown & Ewel 1987,50,S260,crop/successional,field,indirect,,succession,propagules/colonization,SpRichn,1,4,high,48,NA,1°Producer,1°Consumer,above,% of available leaf area lost to herbivory,1°+consumer abundance,r,bioregulation,1,variable,r,com
NA,,NA,negative,-2,Lugo 1992,51,S440,forest,field,indirect,,management,propagules/colonization,SpRichn,1,2,high,8,NA,1°Producer,1°Producer,same,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,positive,2,Lugo 1992,51,S440,forest,field,indirect,,management,propagules/colonization,SpRichn,1,2,high,8,NA,1°Producer,1°Producer,same,biomass belowground,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,negative,-2,Lugo 1992,51,S440,forest,field,indirect,,management,propagules/colonization,SpRichn,1,2,high,8,NA,1°Producer,1°Producer,same,biomass net aboveground (estimates from diameter),1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,positive,1,Lugo 1992,51,S440,forest,field,indirect,,management,propagules/colonization,SpRichn,1,2,high,8,NA,1°Producer,Ecosystem,eco,recirculation of nutrients,soil nutrient supply,s,nutrient cycling,1,static,r,eco
-0.4,univar,-0.424,negative,-2,Dodd et al. 1994,52,S290,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,1,38,high,45,NA,1°Producer,1°Producer,same,biomass aboveground all years,1°producer abundance,p,prim prod,1,static,s,com
-0.06,univar,-0.06,negative,-1,Dodd et al. 1994,52,S290,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,1,38,high,45,NA,1°Producer,1°Producer,same,biomass aboveground (cv all years),1°producer abundance,p,prim prod,1,variable,s,com
NA,univar,NA,no,0,Dodd et al. 1994,52,S290,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,1,38,high,45,NA,1°Producer,1°Producer,same,biomass aboveground (5 diff. years),1°producer abundance,p,prim prod,1,variable,s,com
0.542,multivar,0.607,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Ecosystem,eco,phosphor accumulation soil,soil nutrient supply,s,soil fertility,1,static,s,eco
0.585,multivar,0.669,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,1°Producer,same,canopy complexity,1°producer diversity,r,bioregulation,1,static,s,com
0.665,multivar,0.801,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Ecosystem,eco,potassium accumulation soil,soil nutrient supply,s,soil fertility,1,static,s,eco
0.7,multivar,0.867,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Detritivores,above,no. of earthworms,1°+decomposer abundance,s,nutrient cycling,1,static,s,com
0.728,multivar,0.924,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Ecosystem,eco,CO2-flux,CO2,r,climate regulation,1,static,r,eco
0.831,multivar,1.192,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,1°Consumer,above,insect herbivore abundance (Myzus ornatus),1°+consumer abundance,r,bioregulation,1,static,s,pop
0.935,multivar,1.695,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,1°Producer,same,productivity (%transm. of photosynth. act. radiation),1°producer abundance,p,prim prod,1,static,s,com
0.983,multivar,2.386,positive,2,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,1°Producer,same,"canopy density (%veg. cover, arcsinsqrrt)",1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Ecosystem,eco,available N,soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,no,0,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Detritivores,above,decomposition,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
NA,,NA,no,0,Naeem et al. 1995,54,S480,ruderal/salt marsh,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,3,high,224,NA,1°Producer,Ecosystem,eco,water retention (input-runoff),water cycle,s,water cycl,1,static,s,eco
NA,,NA,positive log-linear,2,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,positive log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Capsella bursa-pastoris),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,2,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Chenopodium album),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,negative log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Lamium purpureum),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,2,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Senecio vulgaris),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,2,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Sinapis arvensis),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Sonchus oleraceus),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Spergula arvensis),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species:Stellaria media),1°producer abundance,p,prim prod,1,static,s,pop
NA,,NA,positive log-linear,0,Naeem et al. 1996,55,S490,grassland,greenhouse,direct,substitutive,,juveniles,SpRichn,1,5,intermediate,164,16,1°Producer,1°Producer,same,biomass aboveground (individual species: Veronica arvensis),1°producer abundance,p,prim prod,1,static,s,pop
-0.188,univar,-0.191,negative linear,-2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,total biomass aboveground (cv),1°producer abundance,p,prim prod,1,variable,r,com
0.15,univar,0.151,positive,2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species cover all(cv),1°producer abundance,p,prim prod,1,variable,s,com
0.469,univar,0.509,positive log-linear,2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,cover,1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,positive,2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species cover (cv) Agropyron repens,1°producer abundance,p,prim prod,1,variable,s,pop
NA,,NA,no,0,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species cover (cv) Artemisia ludoviciana,1°producer abundance,p,prim prod,1,variable,s,pop
NA,,NA,no,0,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species prod. aboveground (cv) Panicum oligosanthes,1°producer abundance,p,prim prod,1,variable,s,pop
NA,,NA,negative,-2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species cover cv) Poa pratensis,1°producer abundance,p,prim prod,1,variable,s,pop
NA,,NA,negative,-2,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,individual species cover (cv) Schizachyrium scoparium,1°producer abundance,p,prim prod,1,variable,s,pop
NA,,NA,no,0,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,cover,1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,no,0,Tilman 1996,56,S60,grassland,field,indirect,,nutrient,propagules/colonization,SpRichn,5,21,high,206,100,1°Producer,1°Producer,same,cover,1°producer abundance,p,prim prod,1,variable,s,com
-0.469,univar,-0.509,negative,-2,Tilman et al. 1996,57,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,Ecosystem,eco,soil nitrate 0-20cm,soil nutrient supply,s,soil fertility,1,static,s,eco
-0.374,univar,-0.393,negative log-linear,-2,Tilman et al. 1996,57,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,Ecosystem,eco,soil nitrate at 40-60cm,soil nutrient supply,s,soil fertility,1,static,s,eco
0.424,univar,0.453,positive,2,Tilman et al. 1996,57,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Producer,same,total cover (%),1°producer abundance,p,prim prod,1,static,s,com
